Id,Message,Human,Prediction
692,liked youtube video youtu owdiyu fy katy perry swish swish witness tour opening night montreal,Positive,neutral
693,pncbank help happy know escalated old complaint yet another team since one pnc made progress,Negative,negative
694,barclays stop sending letters old owner gone yrs,Negative,negative
695,huge thanks amazing retail future panel cuyana inspiredluxe macys oaklabsinc experts fun guys future pic twitter com kl tk irtp,Positive,positive
696,gov brown sign bill puppy mill pets stores sign petition change org p gov brown si via change,Neutral,neutral
697,please accept apologies inconvenience want know value customer concerns please let one bad experience convince care quality service needs assistance accounts please send us dm include following information account type country account opened details issue concerns security account please include account numbers pins message yc,Negative,negative
698,apologies late response please see details,Negative,neutral
699,starkness jpmc real fraud oppressive force finance politics,Negative,negative
700,hectormorenco jamie dimon called crypto worse tulips,Negative,negative
701,albertsgibbs bankofamerica wellsfargomortgage loan mod processors fraud unauthorizedopenedaccounts delete delete delete delete seriously ur trusting wf notify us pic twitter com dodhucopsg,Negative,negative
702,katyperry yeah rock n roll,Neutral,neutral
703,macy staffordx prawn cock hahahah something else macy,Neutral,neutral
704,morganstanley trust banksters,Neutral,negative
705,wesupporttrump espn boycotting bofa,Neutral,negative
706,usbank fan billion crappy music venue already needs repair inexcusable,Negative,negative
707,susan hennessey erinlawes perhaps sarah thinks next supreme court nominee kind thing keystone cops stuff far dangerous,Neutral,neutral
708,polio realdonaldtrump capitalone realdrothschild citi usbank wellsfargo federalreserve irstaxpros irsnews tekel americandollar imfnews imf pakistan cnnmoney nytimes nbcnews foxnews cbsnews aljazeera whitehouse hillaryclinton billclinton pop barackobama michelleobama applenews samsung wsj utahgov taylorswift thr tmz cia fbi airforceassoc airforcenyc usarmy usembassyfrance nicolledwallace johnlegend germanydiplo real amen google potus northkoreanews warrenbuffett apology equifax ceo usa today company massive cybersecurity breach enough satisfy senator mark warner,Negative,negative
709,pncbank help stuck fine print document pretty clever wait close account,Negative,negative
710,itechgeoff yeah also lack android updates crummy samsung customisations meh,Negative,negative
711,rin b citibank uh explain,Neutral,neutral
712,kzxcellent nothing said oh new areas new lycan form shit new thing ubs know convinced,Negative,negative
713,mediocrelee sad new ub like ultra sun hopefully get extra ubs trade foder,Negative,negative
714,katyperry want meet greet,Neutral,neutral
715,colethedesigner zodarts razer razer best buy,Neutral,positive
716,jsftennis repkevincramer biggest terrorists likes financial jihadist jamie dimon killed muslim ever financialjihadists pic twitter com sog yhgci,Negative,negative
717,katyperry get excited everytime see countdown teaser,Positive,positive
718,wallstcritic kenmore think shld losses mostly done middle next year ebitda continue improve along way kmart almost ebitda positive,Positive,neutral
719,usbank would like actually work times look like ass,Negative,negative
720,legiqn panasonicusa aye old best buy days,Neutral,positive
721,goldmansachs corporations volunteering use paris accord rules great big ads,Neutral,negative
722,trishgreenhalgh bidc mikestone eol frankpercival drumeshprabhu lankelangley burntoutrgn himssjohn grumpyolddoc mgtmccartney dr lungs jodyaberdein doctorcaldwell drgrumble andyheeps nhsfff mancunianmedic drjanaway yup great fun redoing acp work f earning less,Positive,positive
723,melanieweldele team trump realdonaldtrump hey comrad let work hrs week give pay fed stand line canned beans tp like old ussr,Negative,negative
724,sovernnation ucberkeley benshapiro sounds though bank america terrorized,Negative,negative
725,alicexmelo yes bet beautiful city still discover many amazing things offer,Positive,positive
726,bankofamerica broadway lemon grove california pic twitter com yiom vpaew,Neutral,neutral
727,marketwatch one went jail jp morgan lost lead money,Negative,negative
728,pncbank help close account guys today honestly want nothing pnc,Negative,negative
729,katyperry tour millenium aaaaa,Neutral,neutral
730,kaleeredd ole keystone,Neutral,neutral
731,mrl must continue getting ubs,Negative,negative
732,veritas recook russell realdonaldtrump obama save big banks unions poor investors companies given nothing historically never done illegal,Negative,negative
733,hsbc uk still says prime member app confused,Negative,negative
734,katyperry learned much falling many times look draw proud time pic twitter com g quhbbw h,Positive,positive
735,ubs china sleeping giant let sleep wakes move world napol onbonaparte right seems,Neutral,neutral
736,giddyupbill yathinkn mrnixonswife minhkular problem aec paid election parties go cap hand banks polling borrow find campaigns bank rc lol,Neutral,negative
737,ubs swiss banking scum cause poverty,Negative,negative
738,bestbuy jacob mosley takes ensuing kickoff house panthers close half central academy skwahder,Neutral,neutral
739,lawyer poli sci degree motherfucker manager best buy poli sci degree really good program,Negative,neutral
740,katyperry kp finally coming omg,Positive,positive
741,mpgaming kuffelkid bestbuy thats nice build almost without power supply,Positive,positive
742,tinkerbelledc louisemensch truefactsstated jojos well goldman sacks shit,Negative,negative
743,bobstroup coxcomm way sprint years customer bankofamerica also thank companies give shit anymore either,Negative,negative
744,alistairmilne also let enjoy irony jpmorgan ceo calls bitcoin fraud jpmorgan clients get enough,Negative,negative
745,adidasfballus thanks ul ubs part,Positive,positive
746,jacobhe iamjosephyoung maxkeiser wow possible jp morgan knows tricks jamie dimon wise bitcoin sure stupid,Neutral,neutral
747,citiaustralia miminightingale promised hard token would work suspended access funds overseas stranded phone,Negative,negative
748,genius taylorswift joslyndavis katyperry ddlovato kimkardashian im shooting star shot across sky youtube com watch v ykwqbu yup gotta testify women r fucking crazy cant even realize,Negative,negative
749,senwarren equifax going punish like banks causing crash,Negative,negative
750,katyperry soooo much sincerely aroon,Positive,positive
751,katyperry could please katy hitch right ohhhh soooo gorgeous leg lap katy could please katy,Positive,positive
752,annenbergspace annenberg fdn bankofamerica merrilllynch merrilledge realdonaldtrump obamafoundation ustrust americangreedtv thedemocrats gop thestreet magnifying aspirational gap want afford pic twitter com lnmjl tt,Positive,neutral
753,goldmansachs wcanetwork prouder,Positive,negative
754,mossmitchell nypmetro area nyc learn toronto,Neutral,neutral
755,jimcarrey katyperry neiltyson billnye un unhumanrights refugees israelipm realdonaldtrump justintrudeau richarddawkins pharrell bigsean calvinharris snoopdogg taylorswift pontifex pontifex fr pontifex pontifex ln pontifex pl pontifex de pontifex ar pontifex es pontifex pt royalfamily sethrogen billmaher elonmusk mayday revelations jesus christ faithful witness first begotten dead brain prince,Neutral,neutral
756,wmkauai overworldtntpig robbierae gop potus prevented banks browning expanding severely hindered profit could put back economy,Negative,negative
757,jimcarrey katyperry neiltyson billnye un unhumanrights refugees israelipm realdonaldtrump justintrudeau richarddawkins pharrell bigsean calvinharris snoopdogg taylorswift pontifex pontifex fr pontifex pontifex ln pontifex pl pontifex de pontifex ar pontifex es pontifex pt royalfamily sethrogen billmaher elonmusk find man side happiness tool,Neutral,positive
758,katyperry brazil katy perry love uuuuuuuuu unconditionally much,Positive,positive
759,conexaokp katy perry live witnessworldtour saw live wearing blue jeans iconic love queen katy perry yes,Positive,neutral
760,qew already enrolled amexslingtv offer error please contact askamex,Neutral,negative
761,katyperry love moon back,Positive,positive
762,sc evd already enrolled amexhilton offer error please contact askamex,Negative,negative
763,tommy w rhysthomashello boyintheband nigel farage borisjohnson tory party leadership campaigned remain rich fams putting weatherspoons goldman sachs pull one son,Neutral,neutral
764,michaelgove wrong side barclays paywall pic twitter com aoyxwvruu,Negative,negative
765,nyathibradley thanks love profile pic katy perry,Positive,positive
766,thareal tredd chase yes back forth got need paying,Neutral,neutral
767,ooweookillatofu hi appreciate coming also save time using atm mobile app go bofa com mobilebanking cr,Positive,neutral
768,michael already enrolled amexboxed offer error please contact askamex,Neutral,negative
769,jasminejsimien help tires jasmine visit sears save bit ly xc mtz,Neutral,neutral
770,harry naris sides know writing wall forever barclays either top choice,Negative,negative
771,whilst capital city hsbc debit card randomly blocked text recieved saying call verify used fraudulently,Negative,negative
772,emmett dog georgieboysmum conurechick shop much cuz ya know mall recently sears bad shape jc penny end selling appliances,Negative,negative
773,dataandpolitics funny reading tweet shown far come come curtis mathis dead sears dying still iraq,Negative,negative
774,conboyke great hear katie glad team provided real american experience,Positive,positive
775,kevinishaaaa katyperry right first show like pwt,Neutral,neutral
776,katyperry ohhhh soooo incredibly good katy hmmmmhmmmm katy ohhhh myyyy golly goodness katy soooo really really really really,Positive,positive
777,philcmusic hollywoodbowl wow looks amazing phil good night da bowl,Positive,positive
778,cfournyay bestbuy dude iphones release every fall last phones hard follow,Neutral,neutral
779,pepsico ing rollsroyce hersheys siemens unilever unitedutilities worldpay accenture halliburton citi admiralgroup astrazeneca baesystemsplc bhpbilliton compassgroupuk intertek itv diageo news hsbc uk ppbetfair persimmonhomes prudential rentokil rsagroup sse stanchart johnson matthey merlinevents oldmutual generalelectric deutschebank wellsfargo kpmg makes kpmg accomplice one biggest commercial crimes ever suffered nation twitter com biznewscom sta,Negative,negative
780,bofa tips know roll pipelines stop public outreach suck,Negative,negative
781,stocktradr stevebannen make goldman sachs fraud loot golden disgusted voted trumpet netflix b loot racket continues youtube com channel ucdmmr,Negative,negative
782,niallofficial citi feel blessed get see first world tour,Positive,positive
783,iamposanna chase hi brittany heart goes victimized chase bank evil soulless efforts hurt customers,Negative,negative
784,bestbuy hope ship house cuz got,Neutral,neutral
785,macy evans thank love,Positive,positive
786,tennesseine bestbuy learned lesson long time ago,Negative,neutral
787,metv sears cd player dollars,Neutral,neutral
788,styleprdiva love fur children happy help,Positive,positive
789,bestbuycanada best buy team continued trend w newer store within store concepts feel canadian box stores could learn lot,Neutral,neutral
790,katys balloons katethekatycat katyperry rise wide awake,Neutral,positive
791,macy ulta offer discounts shock public program nuts also makes sad,Negative,negative
792,katyperry thankful katy thanks one best nights ever,Positive,positive
793,sc fnbo already enrolled amexmgm offer error please contact askamex,Neutral,negative
794,popcrave katyperry beautiful omg,Positive,positive
795,hsbc uk finished call however new problem told appt kings cross email states oxford circus,Negative,negative
796,luciaguimaraes looks like crew delayed another flight sorry delay,Negative,negative
797,glasheenjasmin retailwire retailminded dortechnologies mike k spencer great margins shoppers want glasheenjasmin outlet strongest performer nordy macy others,Positive,positive
798,realdonaldtrump worked healthcare finance years huge mistake fundamental lack true understanding sayno,Negative,negative
799,bofa help hours get phone number indicative ur customer service citibank took min help absolutely pitiful pic twitter com jbwoilqouq,Negative,negative
800,amazing service purchased home bracknell sears couple years decided put market estate agents amazing experience sears encountered setbacks next purchase owing virginia professionalism fantastic negotation skills able move complete purchase next property major delay thinking selling home look g read full review,Positive,positive
801,original review sept dryer died month use mortified made purchase find lemon never encountered company want happy customer purchased home depot sears many times thought try company one phone call thought sure say problem let us send new one case said looking repairs month old careful company looking previous reviews afraid ahead bought top line electrolux extended warranty look like company way fight stuff legally need band together horrible way business place screaming class action lawsuit return outcome,Negative,negative
802,beautiful hotel walking distance old town well palladium amenities also close particularly grateful find tesco within walking distance could buy fresh food supplies daily basis hotel staff friendly helpful especially impressed breakfast staff daily breakfast buffet never wait service staff kind,Positive,positive
803,good staff good mosquitoes nuisance guest rooms entrance lobby restaurant suggested install electrical sir curtain entrance door,Negative,negative
804,purchased relace one lot expensive cent washer crumble age far simple good use great results temperature control could bit clearer low high warm warm happy product happy kmart mildura shifting checkout centre store bright idea,Neutral,positive
805,love rotational category get additional cash back shopping online chase onky thing categories belong cash back financial situation situated process large financial acquisition apply freedom unlimited currently taking turns amazon rewards card,Neutral,neutral
806,wife apple fan girl given apple pad birthday took weeks become fed passed youngest son much disgust wife think turned apple back days music pods popular frustration mp difficulty setting different computers tunes accounts made apple feel like completely manipulating housewife first pc back microsoft first mobile phone android guess set ways anyhow taste tablet experience time still popular decided purchase tab good guys go samsung galaxy mobile phone thought family would play well together life would great work like start tablet got confused downloading email accounts set mobile laptop work found download st george app mobile banking simply one available tablets went back mobile used tablet reading news bed watching odd sbs demand movie discovered blue light creates insomnia never cellular connectivity able use outside phone capability would want carrying around holding ear make call found questioning good months later tablet dated technology old slow much fun piece disposable technology much like mobile phone came conclusion disposable technology may well one unit mobile phone new larger edge style screens replace every two years positive side found tablet well made never problems apart mentioned would recommend tablet get large screen mobile instead,Neutral,neutral
807,songs universal music hungary lp exclusive license bmg rights management us llc b vagrant records also available itunes lp part feist part joan jett powerful genre defying los angeles based singer songwriter lp laura pergolizzi raised new york steady diet joni mitchell doors pretenders nirvana jeff buckley spent formative years honing craft bands releasing solo album heart shaped scar produced david lowery camper van beethoven cracker relocating california began hit stride second outing suburban sprawl alcohol featured track wasted used theme song seasons two three nickelodeon teen drama south nowhere appearance south southwest music conference prompted bidding war resulting deal island island pergolizzi began writing songs artists including heidi montag rihanna christina aguilera citibank television commercial featured excerpts lp wild gained pergolizzi huge fan base viewers eagerly looked internet discover identity artist singing somebody left gate open track earned enough attention warrant cnn news piece warner bros debut ep wild live eastwest studios appeared april another two years full length debut album rob cavallo produced forever saw release lp issued much anticipated fourth studio long player lost via vagrant records album opening track muddy waters appeared taut closing scene season four finale netflix orange new black james christopher monger origin,Neutral,neutral
808,purchase everything macy years bedroom furniture recliners leather sofas well bathroom accessories course clothing much spoiled quality macy merchandise excellent sales promotions great customer service great selections makes macy favorite store shop year round,Positive,positive
809,ordered samsung galaxy catchdeal phone described sold factory unlocked phone arrived locked returned cost still waiting replacement month catchdeal good returning emails poor resolving issues avoid,Negative,negative
810,original review oct sears kenmore refrigerator elite lg purchase piece rq got home connect system unit troubleshoot phone worthless date defrost board changed ice block formed freezer refrigerator behind cold cuts drawer could shut drawer anymore took weeks get part last fall forward september th compressor failed oct th got tell used home connect weeks ago technician compressor got wait shipped house come back install good home connect absolutely nothing wasted make sure next unit american probably sears probably business anyway,Negative,negative
811,best buy mobile located th st greendale wi business specializes electronics retailers stereo equipment,Neutral,neutral
812,worked microsoft full time years pros great benefits free stuff lots resources cons management work life balance leadership lack consistency advice management diversify leadership stop trying best buy get touch demographics stores placed,Neutral,neutral
813,checked september th quick process receptionist cordial actual room clean pleased stay room much since meadows festival time basic works purposes booked room hotel roughly minutes away citifield plus lyft uber late night concert since felt streets well lit felt safe walking may difficulty walking walk may bit difficult wifi runs pretty quickly helped ton exploring area e google maps ordering delivery e c cable flat screen tvs helped fill time concerts meadows festival really hope meadows next year sponsors promotes hotel since cheap close venue lot offer limited amount funds spend negative aspect location nearby construction going sensitive noise may want specify higher floor room really get bothered noise much bothered noise keep mind thanks john hotel,Positive,neutral
814,room clean paid unable stay fall front kmart hurt headed home even sleep bed thank theresa white clovis,Neutral,neutral
815,millenium knickerbocker hotel attractive old hotel located northern part magnificent mile surrounded luxury wealth would describe hotel luxe compared drake hotel across street certainly well average historical beauty charm roomy bar area multiple sitting areas low key restaurant grab bite rooms spacious mini bar well stocked bed comfortable bathroom rain showerhead made getting ready relaxing experience knickerbocker competitively priced area customer service superior doormen check bartenders waiters maid service wonderful helpful pleasant also rather enjoyed walkability downtown surrounding neighborhoods plenty restaurant feast plenty stores shop plenty towers get breathtaking views skyline lake knickerbocker block away hancock tower first thing companion cocktail th floor sears tower trump tower super tall skyscrapers nearby things would recommend boat architectural tour city walking river front chicago river going lincoln park zoo watching cubs game wrigley field riding famous l train,Positive,neutral
816,samsung nearest ideal phones still note till one many many annoying issues list worth excessively high cost egs needs least extra step achieve result like earlier prototype less easy use poor screens make navigation harder less intuitive talking making basic calls texts fancy functions android may blame hard separate two mean hell decided adopt hollow fonts icons idiot geeks face recognition moody pointless exercise frustration best avoided works lots hope less go voice dial near impossible hazard whilst driving decade later still hi contrast screen option duh inverting colours ruins photos dummy hey much easier eyes saves battery life anybody thought yet jeez geeks asleep wheel issues far outweigh state art technical abilities device result faster processing power crippled geek logic wait next ver try samsung give experience former geeks unless head hunted already sack new grads,Neutral,neutral
817,retired work needed personal phone previously relied using work provided one seemed good choice knew optus worked holiday home basis decision think technically adept smartphone previously wonderful choice purchase experience probably well use functionality great communication internet hotspot search device would definitely go iphone previously used samsung galaxy tablet mobile work good bit better needs,Positive,positive
818,really like pants elegant fit great little leather like trim gives nice elegant touch soft great quality last least require ironing,Positive,positive
819,yes tad tedious inputting info safeguards always breeze get notices card used used card present like online check balance make payment option utilize several convenient features like sooo happy downloaded one,Positive,neutral
820,working best buy part time outlook neutral outlook ceo approval disapproves ceo advice management training good receive take one year go,Neutral,neutral
821,flattering light weight comfortable would definitely recommend,Positive,positive
822,camera kit alone would cost stores like best buy target etc yet accessory bundle get bunch extra stuff tried accessory reallly appreciated two sd cards camera bag camera think good beginners camera trying go beyond cell phone photography etc attach pictures took first outings taken auto mode sure get better pics learned photography used manual settings also purchased better lenses however lens comes great general photography learn begginer overall im satisfied purchase,Positive,neutral
823,always count best buy cd accessories,Positive,neutral
824,search perfect vneck shirt wear blazers work light weight silky drapes well normally wear xs brands relatively broad shoulders fits right,Neutral,neutral
825,cute top pretty color however material feels like burlap rough uncomfortable return,Negative,negative
826,says tin takes chill also clock timer easy assemble wheels heater wheels move around easily two heat controls side different heat settings price unit good value,Neutral,neutral
827,really uncomfortable second put returned right away ordered normal size,Negative,negative
828,worked macy part time years outlook neutral outlook ceo approval opinion ceo advice management give raises going pile extra responsibilities manage scheduling better,Neutral,neutral
829,works well good purchase thank best buy,Positive,positive
830,best buy always ink need great fair price,Positive,positive
831,app look feel much improved info screen bigger easier read app functions quicker access rate app stars latest revision shows citi continually improving app make better functional still would nice app tasks website prefer use app hope citi continues add functionality future updates making less necessary even use website,Positive,neutral
832,epic first season beat deal always get old seasons release newest season,Positive,neutral
833,love charter club cambridge pants many colors probably end colors perfect work comfortable stylish right length also hit high enough waist camouflage well,Positive,positive
834,people around trouble various models phone whether htc iphone brand never heard samsung sits pretty still basic thing functioning needed one thing expect phone one main things samsung model consistently everything works says camera impressive messaging easy making calls etc painless impressive aspect phone charging time issues one biggest peeves phones charging capacity getting enough charge samsung handles ease everything else framework related evidently android based makes easily adaptable whatever else want customise phone settings straight forward model really leave room issues visually quite basic nothing notably different phone market however work longer months would believe,Positive,neutral
835,needed get cards add storage kids kindle fires best buy needed reasonable price top quality cards work perfect flawless love,Positive,positive
836,earrings beautiful usually wear slightly bigger hoops look beautiful gold come back earrings silver allow little blending lot gold wear much anymore happy,Positive,positive
837,love heavy duty style chukka boot heavy comfort wear solid durable,Positive,positive
838,normally go store get fitted dress shirt really needed purple dress shirt schedule allowing us time go shopping found took risk ordering online fit perfect said one comfortable dress shirts,Positive,neutral
839,love benefit pore primer amazing love use alone build use every day light little bit goes long way decent price need try,Positive,positive
840,love top gave stars shrink washed dried want look like model buy size larger hang dry,Neutral,neutral
841,bought one jackets go back buy comfortable love zippered pockets colors come saw colors online also purchase jackets worn dress dress versatility amazing love,Positive,positive
842,oem hp ink best buy bestbuy best place get price match,Positive,positive
843,buy printer cartridges best buy always quality competitive price sometimes lower appreciate free shipping offered,Positive,neutral
844,love ti shop macys line nice products return problem nice frieandy staff,Positive,positive
845,purchased heater winter season boy useful easy use move around room central aircon heater sufficient heat whole room keep warm comes one year warranty value wallet,Positive,neutral
846,bought two colors love dressed,Positive,positive
847,piece equipment needed best buy always great help find need even might know exactly looking,Positive,neutral
848,size guide indicated correct size however small skin tight returning reorder larger size two sizes,Neutral,neutral
849,also pinball machines open work environment get loud team blast work management great free catered lunches great place intern likely great place start continue forward career,Positive,positive
850,love new external hard drive purchased best buy works great,Positive,positive
851,terrible within year water filling one crisper drawers years freezer stopped working also rust around top water dispenser used times within first year pay nearly fridge expect last bit better years,Negative,negative
852,cute sandals fits great thing like front bottom part grip roughness one slip heal part grip need careful walking specially smooth floors,Positive,positive
853,nice sound bass good best buy price bought satellite speaker length meters meters bluetooth connectivity good got extra white connector wire damaged luckily use might device packed mistake one good thing control volume satellite speakers independently planning buy go waited long sub woofer musician happy content product,Positive,positive
854,colors topic vibrant top fits well long enough well made looks like easy wash,Positive,positive
855,worked macy full time years advice management many chiefs enough indians,Neutral,negative
856,scared would fit really cute get lots complements throw little simple outfit give right amount kick plain outfit thanks inc,Positive,positive
857,picture clearer thought would p,Positive,neutral
858,loved size pot two people steamer insert added bonus get lot use sure pot leave tiny marks inside first use nothing could remove pot exactly looking,Positive,neutral
859,fun fun wear feel like princess,Positive,neutral
860,card fit bill needed camera fast easy purchase best buy,Positive,neutral
861,perfect jacket cool weather beautiful brown color buy black true size great length soft material definitely would recommend,Positive,positive
862,customer years continue online store prices always great thanks best buy,Positive,positive
863,probably best buying experience ever easy quick pressure two sales people helped us worked well together,Positive,positive
864,search new router recommended salesperson local best buy bought two pack sure coverage even though salesperson said thought single would strong enough totally right long ranch house one node far side house manages cover full length well basement super impressed taking node mother house replace old zoom router also remarkable easy set provided smart phone,Positive,neutral
865,winter cold good blanket however far cry regards proper electric blankets used another woolen comforter retain heat produced however great lying tossing bed especially nights spring cold night,Positive,neutral
866,purchased minutes walking macy absolutely glad love,Positive,positive
867,bought bag want different color care material feels cheap,Neutral,negative
868,product months old noticed scratches handles normal opening closing doors called samsung best buy could anything except say cosmetic one could anything,Neutral,neutral
869,gorgeous dress colours beautiful best buy,Positive,positive
870,sheets little stiff rough good deal get sale like would never pay full price thread count much better options patterns adorable london pattern bicycles wish bit softer,Positive,neutral
871,must buy got sale happily say best buy,Positive,positive
872,nice app problem,Positive,positive
873,offer positive experience average interview application applied college university process took days interviewed citi atlanta ga september interview applied career site got schedule interview interview lasted minutes asking skills interest major company interview interview questions citi finance ib u economy,Neutral,neutral
874,second week owning fridge dispense ice door makes ice fine dispense got sucked cool option using bottom right door either fridge freezer might go back best buy see return get fridge dispense door ice maker freezer auger mechanism could break,Negative,neutral
875,would recommend jason diaz eveyone offlease comes buy car could ask better person help purchase new car jason went way make sure getting best buy money,Positive,neutral
876,set weeks stopped working plan fight best buy get replaced,Negative,neutral
877,offer positive experience average interview application applied online process took weeks interviewed citi tampa fl interview interviews process minute phone interview recruiter minute phone interview manager hour person interview manager interview questions goal years,Neutral,neutral
878,used months far see find issues kirin processor well also supports jio volte recommended buy,Positive,neutral
879,buy regularly friend goes pretty quickly swears best around best buy number sheets etc,Positive,neutral
880,works need job,Neutral,neutral
881,best buy best delivery option,Positive,positive
882,different environment job delivery various areas come mail room pick changes pick difficult due change job location responsibility enjoyable meeting knowing people culture workplace change personal belongings locker go desk assigned typical day includes receiving mail express mail like ups fedex sort mail bins contact receive expresses put meter mail check mail bo first floor send mail expresses end day,Neutral,neutral
883,plenti decent app many usual spots everone goes earns points exxon rite aid macys common somehow tricky months others doesnt post points overall pretty good earn points use like cash,Positive,neutral
884,hard find cute brown flat love comfy classy,Positive,positive
885,best better many others thing loved take work stress home probably teller may banker deal stress,Positive,neutral
886,got olive green color perfect gold buttons fit perfect love,Positive,positive
887,iriginal earphones got caught something looked online found best buy stock store close applebees havin dinner stopped bought thhey work great child knows careful,Positive,neutral
888,sure plenty cameras better cheaper thinkware gift cards purchased best buy say video quality fair expensive camera would recommend especially want parking mode dual camera setup dual camera option setup wish setup greatest complaint thinkware best force buying thinkware sd card mine came gb card nowhere near enough space cover one day worth driving parking supposed accept gb every card tried incompatible refuse pay per gb micro sd card,Negative,negative
889,best buy ever beats every speaker bose high end speakers better clarity amazing bass friend mine wants buy one stopped using regular speakers good battery life easy carry,Positive,positive
890,good movie enjoy well first jack reacher,Negative,negative
891,worked citibank full time year outlook positive outlook ceo approval disapproves ceo advice management try retain employees minimize attrition rate,Neutral,neutral
892,comfortable pants several colors love brand,Positive,positive
893,plugged cable samsung k tv sony k player picture okay look impressive old hdmi cable using bought recommended best buy associate sure wanted sell disappointed,Negative,negative
894,new update allow easy multiuser login separate login savings account separate login credit cards time use either accounts asks otp authentication case,Neutral,neutral
895,game want stock best buy simply pick playstation network card get game want right away,Neutral,neutral
896,job stressful never knew going cut position time also job competitive offer lot incentive towards customers accrue business,Negative,negative
897,accepted offer positive experience average interview application applied online process took months interviewed citi interview hr meeting online tests x min phone interview whole day assessment centre interviews case study group study first apply online get talk hr basic hr questions felt judged personality character online numerical verbal assessments fairly easy get x minutes interview private bankers investment counselors studies pictured private banking industry finally assessment centre tense little time make mind alternate interviews managing directors one case study preparation presentation one group study interview questions asked broad questions citi private banking tell time seek mentoring help etc,Neutral,neutral
898,adele legacy must say impressed premier subaru dmitriy sales excellent extremely knowledgeable adam joseph finance friendly professional made process smooth beginning end lot questions covered wanted ask thank premier subaru,Positive,positive
899,great purchase look fit right perfect jeans would recommend everyone know,Positive,positive
900,quiet stylish yay white silver woohoo happy well designed strong shelves great looking fridge worried little bit see lg hisense samsung fp brands hit miss happy price given quality happy would highly recommend,Positive,positive
901,guys app great idiot updated geez fire someone,Negative,negative
902,nice basic top great price run large shrink much,Positive,positive
903,similar expendable movies fair plot lot big name actors thing enjoyed others like one,Neutral,neutral
904,new design excellent,Positive,positive
905,worked macy full time year,Neutral,neutral
906,lightweight love built scale separate compartment clothes hanger easily accessible hidden compartment,Positive,positive
907,enjoyed working citibank due flexible hours call center environment handling inbound calls time fairly busy helped work day go faster,Positive,positive
908,recently bought one part deal telstra good side really good battery life light pick wi fi easily side thin immediately need strong cover find quite lot issues using possibly software issue product,Neutral,negative
909,american hit miss depending flight new old think flights power charge cell phone fly aa least month last flight ton free movies tv shows,Neutral,neutral
910,hours long managers picky tiny things opportunities advancement nonexisant good job college student needing money one position long advance know someone,Neutral,neutral
911,accepted offer positive experience easy interview application applied online process took months interviewed american airlines fort worth tx october interview took almost months get face face interview process long due large number applicants starts online assessment video interview asked questions wait see chosen come forna face face,Neutral,neutral
912,flight experience american airlines nothing less amazing friendly employees great customer service combination wonderful workplace,Positive,positive
913,new app bad multiple accounts accounts open app open online site persons handling one account requires otp practical please solve problem immediately,Negative,negative
914,initially entered best buy looking specific tv saw features tv carried built roku great able download additional apps makes even better purchase tv u looking upgrade traditional ways viewing shows movies enjoy,Positive,neutral
915,feel like people mad paradox dlc policy going break life probably bigger problems going playing computer games anyway money problems fixed suggestion would find better job really expensive stellaris beautifully designed game provides endless array possibilities nothing less devs deserve every dime getting worth every penny would gladly pay double full retail price game content exaggerating say stellaris best game market currently,Neutral,neutral
916,nobody really cares changed sell else job instead truly helping customers putting needs first aside discount good make great friends clicks definitely problem bragging sales thing although realistically means nothing paycheck individual sales goals thing bonus store goals individual goal great mobile budget probably bonus main problem hard work matter numbers look good best buy worked started blame amazon price matching loss margin,Neutral,neutral
917,awesome app easy use another way citi proves best biz,Positive,positive
918,enjoyed working since young inexperienced definitely learning experience taught lot certain habits work place use forever,Positive,positive
919,fast convenient u citi bank card gotta get app,Positive,neutral
920,even search anything app slow maybe ios idkkkkk,Negative,negative
921,went shopping sister swimsuit left macy swimsuits pair slacks jones ny shirts sale unbelievable prices jones ny shirt macy sales spectacular,Positive,neutral
922,gaming glasses made sturdy material lenses clear clean fit head perfectly reason two stars ask nothing prevent headaches occurring plane vision continue blur minutes gameplay eyes readjust normal light may work people work return full refund best buy,Negative,neutral
923,working macy year outlook neutral outlook ceo approval opinion ceo advice management stress employees star rewards,Neutral,neutral
924,perfect looks amazing friends complimented right left,Positive,positive
925,bought diamond care toothbrush ready available best buy best price course match,Positive,neutral
926,top fits perfectly comfortable slimming worn several times already casual would also appropriate office,Positive,positive
927,actually like years since got job ok internship competitive still opportunity sad left master degree,Negative,neutral
928,room advancement low pay little hours give benefits even chances raises management team friendly defiantly team atmosphere,Positive,positive
929,bought teal little brighter looked online shirt flattering need much ironing,Positive,positive
930,received xl sweater ordering online wish sage heather color looked like pictured hard describe looks like tan khaki hint yellow green person would seen store would passed returned hope macy order many color lot flattering look fair skin blond hair fit good order suggested description disappointed really liked classic style navy would nice,Neutral,neutral
931,got gray really like color soft fabric feel runs little small may need get bigger size,Positive,neutral
932,quick delivery ordering x days fantastic product price love thanks gd broom lightweight easy use best buy year,Positive,positive
933,received phone excellent conditions delivery took time two weeks supposed reason phone sold however seller upgraded delivery fast delivery extra charge thus accelerate delivering process,Neutral,negative
934,purchased upon advice best buy sales associate drops connection reconnect power cycle get work connected sound quality poor returning exchange another product,Negative,negative
935,got birthday gift friend burgundy get one pink looks rich matches many colors outfits good piece accessory dress simple outfit,Positive,neutral
936,best buy price con charging slow,Neutral,positive
937,wow wow think could afford name brand towels low prices beyond excited already told sisters ga run macy go line get sell love,Positive,positive
